eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133048,-149,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133049,-149,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133050,-149,58
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133051,-149,59
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802567911994420732983414767500579666133052,-149,60
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344482,-148,34
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344483,-148,35
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344484,-148,36
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344485,-148,37
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344486,-148,38
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344487,-148,39
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344488,-148,40
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344489,-148,41
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344490,-148,42
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1769,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802908194361341671446878142108011434344491,-148,43
