eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921614,-150,78
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921615,-150,79
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921616,-150,80
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921617,-150,81
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921618,-150,82
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921619,-150,83
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921620,-150,84
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921621,-150,85
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921622,-150,86
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1183,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-115792089237316195423570985008687907802227629627499794519951392893147897921623,-150,87
