eid,pid,x,y
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268792,6,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2041694201525630780780247644590609268793,6,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480244,7,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480245,7,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480246,7,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480247,7,55
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480248,7,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2381976568446569244243622252022377480249,7,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691700,8,52
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691701,8,53
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691702,8,54
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691703,8,55
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691704,8,56
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691705,8,57
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691706,8,58
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691707,8,59
estate-0x959e104e1a4db6317fa58f8295f586e1a978c297-1952,parcel-0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d-2722258935367507707706996859454145691708,8,60
